Feature,Run 0,Run 1,Run 2,Run 3,Run 4
difference_drive_petrol,7.454418340724356e-05,7.24588321459052e-05,3.529377233812969e-05,4.601397297832044e-05,9.268190924927033e-05
difference_drive_secondary,0.00015269796802297453,0.00016573214990800444,0.000186740746863312,0.00020113857557635395,0.00012230544996050252
drive_petrol.destination,0.0008185992961807775,0.0007493170916567093,0.0007630226065198364,0.0007234608266667442,0.0009039662702180484
PT_retail.origin,0.004562625229928119,0.004728870208438374,0.0043750165296577714,0.004625273514863082,0.00463246928961325
drive_retail.destination,0.0004643107670595503,0.0003811693169356589,0.00042251536247162047,0.0003699827926081367,0.0004986284023781318
Dist_from_Gls.origin,0.0059270547323119205,0.005993584397322782,0.0061456973282761895,0.0060416804897297505,0.006038151605520237
income_rate.destination,0.005083902297298382,0.0054862586545456615,0.005473408836651039,0.005248909840205318,0.005318388052384937
difference_drive_primary,2.313557808886202e-06,1.083496049436583e-06,-1.7870865804958669e-06,-1.8137027731901512e-06,2.5318006569019502e-06
Dist_from_Ed.origin,0.010339080952165403,0.01010326553600871,0.010028371586944695,0.009957550940541515,0.010170280014698219
PT_GP.destination,0.004005974662878886,0.0037190239628207555,0.0037741442951426674,0.0036682220694955747,0.004081977387954461
difference_drive_post,0.0001301354747790251,7.600203962832008e-05,5.8431643854550686e-05,5.606826177229074e-05,9.81465006465454e-05
difference_PT_GP,0.00017574118687646578,0.00015220575501306843,0.00010688468922670502,0.00011541766228240213,0.0001928810466929054
Dist_from_Gls.destination,0.0030353477018981723,0.0030439758487398327,0.003389637127669598,0.003256582277968989,0.003207928321522613
difference_employment_rate,9.486311666495606e-05,7.638341561877482e-05,4.174645615384609e-05,8.020883568427006e-05,7.102057044672261e-05
income_rate.origin,0.004683632425262263,0.0048469204458801984,0.004446581737519328,0.004619924066412762,0.004625832609796987
Distance,0.604832917888693,0.6091654801692254,0.6072530862482933,0.6068765054180816,0.6044394285749227
difference_drive_GP,0.0004812378555070218,0.0005172346956306972,0.0006363501437429697,0.0005796822921297906,0.0004547660105456153
drive_primary.origin,3.173481443186077e-07,1.8278808960880966e-06,-1.8599647866324176e-06,-1.7366058202572532e-07,5.848582879108832e-07
Stops,0.06680205726946664,0.06785220285079141,0.06682653566350116,0.06778844829499431,0.06670693065611333
Dist_from_Ed.destination,0.016519488677906535,0.016357259324229045,0.015986476244703507,0.01646093458491482,0.016414070498685263
drive_GP.origin,0.0016665272028889566,0.0017191663190294637,0.0014972835924795813,0.0016328773406921737,0.0016750296440929402
nocentralheating_rate.origin,0.0021928312015067064,0.0022421847463763855,0.0022499517372486233,0.0021874342192795826,0.00234215870174459
difference_drive_retail,5.32901360946747e-05,4.3946968277808196e-05,2.5873504436391137e-05,3.416547943646542e-05,6.465024582869017e-05
difference_PT_retail,1.0799095510050094e-06,1.4155192540332706e-07,-9.615601471724133e-07,-6.225020047212482e-07,2.4366207069803636e-06
drive_secondary.origin,0.00037398312427194824,0.00031401757216020787,0.0004203317443206567,0.00039092741408830456,0.00035568096043336883
Time.min,0.45722058017348366,0.4590501238208452,0.45805880640631136,0.45603460490478676,0.45953606020167503
difference_crime_rate,5.4211413668125985e-06,7.061947508102406e-06,4.628414249085999e-06,3.0414514887722177e-06,7.3914443147193865e-06
drive_secondary.destination,8.891090939755486e-05,5.2165497390510573e-05,8.333491799084047e-05,5.48461202120043e-05,0.00010413003496789752
difference_PT_post,4.5890231993639397e-05,8.903358589607002e-05,0.0001071973586713737,0.00010958864586130268,7.523577859458452e-05
drive_post.origin,4.4222867217169615e-05,3.251415644589528e-05,9.009217958222404e-05,7.298516079812245e-05,6.648990022539714e-05
overcrowded_rate.origin,2.5557889191896166e-05,9.07147596340696e-06,2.888110492504925e-05,2.909350380642106e-05,1.669776976409576e-05
drive_GP.destination,0.0035059292749154425,0.0036848437155099223,0.0037323460678722054,0.0037187533660817396,0.0034252995012721277
PT_retail.destination,0.004456796298161425,0.004830895022588377,0.004615252473881837,0.004761400469110222,0.004294811959859146
employment_rate.origin,0.00566505796502037,0.005542048248821541,0.0060338320823480895,0.005634986849317403,0.005737131573733345
PT_post.origin,0.00039267694388678276,0.00037089354208097447,0.0005028300677893949,0.00047095942358399423,0.00045933991272362196
difference_nocentralheating_rate,3.353048585230667e-06,2.6410082937244894e-06,8.462172081946662e-07,1.798116666895666e-06,5.858916988565888e-06
drive_retail.origin,0.00022881239235317263,0.00019180162371368326,0.00027758957829870923,0.00021686179023927554,0.00022189923810034262
crime_rate.origin,2.178230173122131e-05,4.1030456394586245e-05,2.8583319323094436e-05,2.3802516146420594e-05,3.162754999319617e-05
drive_post.destination,0.0002873478098881499,0.00015291611230239255,0.00022797042260758182,0.00019167007860665386,0.00026442162922324375
PT_post.destination,0.00024242187783929392,0.00014372135882489978,0.00019574854912918216,0.0001713953168216431,0.00022733448311862414
crime_rate.destination,1.9919843291527073e-06,1.1323683077324453e-05,9.879463837014768e-06,1.1698880274413348e-05,2.8509651707198103e-06
difference_overcrowded_rate,2.069970992502057e-06,6.6591047193087505e-06,1.3698398006689594e-05,6.58218648685871e-06,-1.2534482036752337e-06
PT_GP.origin,0.0026637986101312183,0.0025675821108775976,0.0028497138657632703,0.0027249864968925674,0.0026381867008539173
overcrowded_rate.destination,1.695424177894367e-05,1.8012411804324557e-06,3.6395110315501356e-06,1.3136380711098461e-05,1.628233459738393e-05
difference_income_rate,3.31851249234516e-05,5.15692330237405e-05,8.982194462203719e-05,4.9942055157292664e-05,5.471914396493194e-05
nocentralheating_rate.destination,0.0020326462490311004,0.002125983960322597,0.0021979032484600314,0.0020943167943374696,0.002048501841439565
employment_rate.destination,0.006959356298769981,0.0065567815083907854,0.006543886194036785,0.0067530172024972135,0.006737987666036727
drive_primary.destination,2.5645457468748134e-07,-1.9014379970538897e-07,2.647290298085636e-08,-2.709891323560143e-07,2.4245157936864103e-07
drive_petrol.origin,0.0004338284911478141,0.00038186262844719376,0.0005318268214760113,0.0004694537208168592,0.00043198450231185515
